bin_1,bin_2,bin_3,bin_4,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,user_id,target
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1586,0.1427,0.1649,0.1471,0.0932,0.1466,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,0,0,1,0.8559,0.0,0.1546,0.0903,0.2,0.5289,0.8559,0.1546,0.2059,0.2174,0.5109,0.0036,0.1225,0.5026,dc029453,e9b19332,254a1505,31f4786e,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
0,1,0,1,0.8559,0.0,0.1979,0.1032,0.4,0.7194,0.8559,0.1979,0.0,0.2236,0.2938,0.0036,0.3177,0.6433,dc029453,e9b19332,254a1505,19ca07d9,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
0,0,0,1,0.1427,0.0,0.1649,0.0387,0.0,0.1304,0.1427,0.1649,0.1471,0.0932,0.2452,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1835,0.0387,0.0,0.1347,0.1427,0.1835,0.1471,0.0932,0.2277,0.0036,0.0254,0.5964,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1263,0.1427,0.1649,0.1471,0.0932,0.2634,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.4565,0.16,0.1649,0.0452,0.0,0.4278,0.4565,0.1649,0.0,0.118,0.2316,0.0471,0.0082,0.4184,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1586,0.1427,0.1649,0.1471,0.0932,0.1466,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.0713,0.99,0.1649,0.0387,0.0,0.0737,0.0713,0.1649,0.1471,0.0932,0.1812,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.8559,0.76,0.1979,0.0839,0.2,0.9104,0.8559,0.1979,0.0,0.2112,0.1673,0.0036,0.1153,0.6433,dc029453,e9b19332,254a1505,9ad4f36f,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1347,0.1427,0.1649,0.1471,0.0932,0.2277,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,1,0,1,0.0713,0.0,0.1649,0.0452,0.0,0.0658,0.0713,0.1649,0.0,0.118,0.2404,0.0471,0.0082,0.4184,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.3566,0.65,0.1546,0.0194,0.2,0.4066,0.3566,0.1546,0.0294,0.0248,0.1354,0.0036,0.2305,0.5026,0088407c,471c6c1b,1b71ea44,0f68baf6,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1835,0.0387,0.0,0.1586,0.1427,0.1835,0.1471,0.0932,0.1466,0.0036,0.0254,0.5964,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.4479,0.59,0.3093,0.0452,0.0,0.4198,0.4479,0.3093,0.0,0.118,0.2316,0.0471,0.0082,0.7846,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.3566,0.65,0.1546,0.0194,0.2,0.4066,0.3566,0.1546,0.0294,0.0248,0.1354,0.0036,0.2305,0.5026,0088407c,471c6c1b,1b71ea44,0f68baf6,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1835,0.0387,0.0,0.1347,0.1427,0.1835,0.1471,0.0932,0.2277,0.0036,0.0254,0.5964,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
